,Pclass,Fancy,Male,Age,Fare,Known,E_C,E_Q,E_S,Survived
0,3,0,1,22.0,7.25,0,0,0,1,0
1,1,0,0,38.0,71.2833,1,1,0,0,1
2,3,0,0,26.0,7.925,0,0,0,1,1
3,1,0,0,35.0,53.1,1,0,0,1,1
4,3,0,1,35.0,8.05,0,0,0,1,0
5,3,0,1,30.0,8.4583,0,0,1,0,0
6,1,0,1,54.0,51.8625,1,0,0,1,0
7,3,1,1,2.0,21.075,0,0,0,1,0
8,3,0,0,27.0,11.1333,0,0,0,1,1
9,2,0,0,14.0,30.0708,0,1,0,0,1
10,3,0,0,4.0,16.7,1,0,0,1,1
11,1,0,0,58.0,26.55,1,0,0,1,1
12,3,0,1,20.0,8.05,0,0,0,1,0
13,3,0,1,39.0,31.275,0,0,0,1,0
14,3,0,0,14.0,7.8542,0,0,0,1,0
15,2,0,0,55.0,16.0,0,0,0,1,1
16,3,1,1,2.0,29.125,0,0,1,0,0
17,2,0,1,30.0,13.0,0,0,0,1,1
18,3,0,0,31.0,18.0,0,0,0,1,0
19,3,0,0,30.0,7.225,0,1,0,0,1
20,2,0,1,35.0,26.0,0,0,0,1,0
21,2,0,1,34.0,13.0,1,0,0,1,1
22,3,0,0,15.0,8.0292,0,0,1,0,1
23,1,0,1,28.0,35.5,1,0,0,1,1
24,3,0,0,8.0,21.075,0,0,0,1,0
25,3,0,0,38.0,31.3875,0,0,0,1,1
26,3,0,1,30.0,7.225,0,1,0,0,0
27,1,0,1,19.0,263.0,1,0,0,1,0
28,3,0,0,30.0,7.8792,0,0,1,0,1
29,3,0,1,30.0,7.8958,0,0,0,1,0
30,1,1,1,40.0,27.7208,0,1,0,0,0
31,1,0,0,30.0,146.5208,1,1,0,0,1
32,3,0,0,30.0,7.75,0,0,1,0,1
33,2,0,1,66.0,10.5,0,0,0,1,0
34,1,0,1,28.0,82.1708,0,1,0,0,0
35,1,0,1,42.0,52.0,0,0,0,1,0
36,3,0,1,30.0,7.2292,0,1,0,0,1
37,3,0,1,21.0,8.05,0,0,0,1,0
38,3,0,0,18.0,18.0,0,0,0,1,0
39,3,0,0,14.0,11.2417,0,1,0,0,1
40,3,0,0,40.0,9.475,0,0,0,1,0
41,2,0,0,27.0,21.0,0,0,0,1,0
42,3,0,1,30.0,7.8958,0,1,0,0,0
43,2,0,0,3.0,41.5792,0,1,0,0,1
44,3,0,0,19.0,7.8792,0,0,1,0,1
45,3,0,1,30.0,8.05,0,0,0,1,0
46,3,0,1,30.0,15.5,0,0,1,0,0
47,3,0,0,30.0,7.75,0,0,1,0,1
48,3,0,1,30.0,21.6792,0,1,0,0,0
49,3,0,0,18.0,17.8,0,0,0,1,0
50,3,1,1,7.0,39.6875,0,0,0,1,0
51,3,0,1,21.0,7.8,0,0,0,1,0
52,1,0,0,49.0,76.7292,1,1,0,0,1
53,2,0,0,29.0,26.0,0,0,0,1,1
54,1,0,1,65.0,61.9792,1,1,0,0,0
55,1,0,1,30.0,35.5,1,0,0,1,1
56,2,0,0,21.0,10.5,0,0,0,1,1
57,3,0,1,28.5,7.2292,0,1,0,0,0
58,2,0,0,5.0,27.75,0,0,0,1,1
59,3,1,1,11.0,46.9,0,0,0,1,0
60,3,0,1,22.0,7.2292,0,1,0,0,0
61,1,0,1,45.0,83.475,1,0,0,1,0
62,3,1,1,4.0,27.9,0,0,0,1,0
63,1,0,1,30.0,27.7208,0,1,0,0,0
64,3,1,1,30.0,15.2458,0,1,0,0,1
65,2,0,0,29.0,10.5,1,0,0,1,1
66,3,0,1,19.0,8.1583,0,0,0,1,0
67,3,0,0,17.0,7.925,0,0,0,1,1
68,3,0,1,26.0,8.6625,0,0,0,1,0
69,2,0,1,32.0,10.5,0,0,0,1,0
70,3,0,0,16.0,46.9,0,0,0,1,0
71,2,0,1,21.0,73.5,0,0,0,1,0
72,3,0,1,26.0,14.4542,0,1,0,0,0
73,3,0,1,32.0,56.4958,0,0,0,1,1
74,3,0,1,25.0,7.65,1,0,0,1,0
75,3,0,1,30.0,7.8958,0,0,0,1,0
76,3,0,1,30.0,8.05,0,0,0,1,0
77,2,1,1,0.83,29.0,0,0,0,1,1
78,3,0,0,30.0,12.475,0,0,0,1,1
79,3,0,1,22.0,9.0,0,0,0,1,0
80,3,0,1,29.0,9.5,0,0,0,1,1
81,3,0,0,30.0,7.7875,0,0,1,0,1
82,1,0,1,28.0,47.1,0,0,0,1,0
83,2,0,0,17.0,10.5,0,0,0,1,1
84,3,0,0,33.0,15.85,0,0,0,1,1
85,3,0,1,16.0,34.375,0,0,0,1,0
86,3,0,1,30.0,8.05,0,0,0,1,0
87,1,0,0,23.0,263.0,1,0,0,1,1
88,3,0,1,24.0,8.05,0,0,0,1,0
89,3,0,1,29.0,8.05,0,0,0,1,0
90,3,0,1,20.0,7.8542,0,0,0,1,0
91,1,0,1,46.0,61.175,1,0,0,1,0
92,3,0,1,26.0,20.575,0,0,0,1,0
93,3,0,1,59.0,7.25,0,0,0,1,0
94,3,0,1,30.0,8.05,0,0,0,1,0
95,1,0,1,71.0,34.6542,1,1,0,0,0
96,1,0,1,23.0,63.3583,1,1,0,0,1
97,2,0,0,34.0,23.0,0,0,0,1,1
98,2,0,1,34.0,26.0,0,0,0,1,0
99,3,0,0,28.0,7.8958,0,0,0,1,0
100,3,0,1,30.0,7.8958,0,0,0,1,0
101,1,0,1,21.0,77.2875,1,0,0,1,0
102,3,0,1,33.0,8.6542,0,0,0,1,0
103,3,0,1,37.0,7.925,0,0,0,1,0
104,3,0,1,28.0,7.8958,0,0,0,1,0
105,3,0,0,21.0,7.65,0,0,0,1,1
106,3,0,1,30.0,7.775,0,0,0,1,1
107,3,0,1,38.0,7.8958,0,0,0,1,0
108,3,0,0,30.0,24.15,0,0,1,0,1
109,1,0,1,47.0,52.0,1,0,0,1,0
110,3,0,0,14.5,14.4542,0,1,0,0,0
111,3,0,1,22.0,8.05,0,0,0,1,0
112,3,0,0,20.0,9.825,0,0,0,1,0
113,3,0,0,17.0,14.4583,0,1,0,0,0
114,3,0,1,21.0,7.925,0,0,0,1,0
115,3,0,1,70.5,7.75,0,0,1,0,0
116,2,0,1,29.0,21.0,0,0,0,1,0
117,1,0,1,24.0,247.5208,1,1,0,0,0
118,3,0,0,2.0,31.275,0,0,0,1,0
119,2,0,1,21.0,73.5,0,0,0,1,0
120,3,0,1,30.0,8.05,0,0,0,1,0
121,2,0,1,32.5,30.0708,0,1,0,0,0
122,2,0,0,32.5,13.0,1,0,0,1,1
123,1,0,1,54.0,77.2875,1,0,0,1,0
124,3,1,1,12.0,11.2417,0,1,0,0,1
125,3,0,1,30.0,7.75,0,0,1,0,0
126,3,0,1,24.0,7.1417,0,0,0,1,1
127,3,0,0,30.0,22.3583,1,1,0,0,1
128,3,0,1,45.0,6.975,0,0,0,1,0
129,3,0,1,33.0,7.8958,0,1,0,0,0
130,3,0,1,20.0,7.05,0,0,0,1,0
131,3,0,0,47.0,14.5,0,0,0,1,0
132,2,0,0,29.0,26.0,0,0,0,1,1
133,2,0,1,25.0,13.0,0,0,0,1,0
134,2,0,1,23.0,15.0458,0,1,0,0,0
135,1,0,0,19.0,26.2833,1,0,0,1,1
136,1,0,1,37.0,53.1,1,0,0,1,0
137,3,0,1,16.0,9.2167,0,0,0,1,0
138,1,0,1,24.0,79.2,1,1,0,0,0
139,3,0,0,30.0,15.2458,0,1,0,0,0
140,3,0,0,22.0,7.75,0,0,0,1,1
141,3,0,0,24.0,15.85,0,0,0,1,1
142,3,0,1,19.0,6.75,0,0,1,0,0
143,2,0,1,18.0,11.5,0,0,0,1,0
144,2,0,1,19.0,36.75,0,0,0,1,0
