,Unnamed: 0,Survived,Pclass,Fancy,Male,Age,Fare,Known,familyMembers,E_C,E_Q,E_S
0,0,0,3,0,1,22.0,7.25,0,1,0,0,1
1,1,1,1,0,0,38.0,71.2833,1,1,1,0,0
2,2,1,3,0,0,26.0,7.925,0,0,0,0,1
3,3,1,1,0,0,35.0,53.1,1,1,0,0,1
4,4,0,3,0,1,35.0,8.05,0,0,0,0,1
5,5,0,3,0,1,30.0,8.4583,0,0,0,1,0
6,6,0,1,0,1,54.0,51.8625,1,0,0,0,1
7,7,0,3,1,1,2.0,21.075,0,4,0,0,1
8,8,1,3,0,0,27.0,11.1333,0,2,0,0,1
9,9,1,2,0,0,14.0,30.0708,0,1,1,0,0
10,10,1,3,0,0,4.0,16.7,1,2,0,0,1
11,11,1,1,0,0,58.0,26.55,1,0,0,0,1
12,12,0,3,0,1,20.0,8.05,0,0,0,0,1
13,13,0,3,0,1,39.0,31.275,0,6,0,0,1
14,14,0,3,0,0,14.0,7.8542,0,0,0,0,1
15,15,1,2,0,0,55.0,16.0,0,0,0,0,1
16,16,0,3,1,1,2.0,29.125,0,5,0,1,0
17,17,1,2,0,1,30.0,13.0,0,0,0,0,1
18,18,0,3,0,0,31.0,18.0,0,1,0,0,1
19,19,1,3,0,0,30.0,7.225,0,0,1,0,0
20,20,0,2,0,1,35.0,26.0,0,0,0,0,1
21,21,1,2,0,1,34.0,13.0,1,0,0,0,1
22,22,1,3,0,0,15.0,8.0292,0,0,0,1,0
23,23,1,1,0,1,28.0,35.5,1,0,0,0,1
24,24,0,3,0,0,8.0,21.075,0,4,0,0,1
25,25,1,3,0,0,38.0,31.3875,0,6,0,0,1
26,26,0,3,0,1,30.0,7.225,0,0,1,0,0
27,27,0,1,0,1,19.0,263.0,1,5,0,0,1
28,28,1,3,0,0,30.0,7.8792,0,0,0,1,0
29,29,0,3,0,1,30.0,7.8958,0,0,0,0,1
30,30,0,1,1,1,40.0,27.7208,0,0,1,0,0
31,31,1,1,0,0,30.0,146.5208,1,1,1,0,0
32,32,1,3,0,0,30.0,7.75,0,0,0,1,0
33,33,0,2,0,1,66.0,10.5,0,0,0,0,1
34,34,0,1,0,1,28.0,82.1708,0,1,1,0,0
35,35,0,1,0,1,42.0,52.0,0,1,0,0,1
36,36,1,3,0,1,30.0,7.2292,0,0,1,0,0
37,37,0,3,0,1,21.0,8.05,0,0,0,0,1
38,38,0,3,0,0,18.0,18.0,0,2,0,0,1
39,39,1,3,0,0,14.0,11.2417,0,1,1,0,0
40,40,0,3,0,0,40.0,9.475,0,1,0,0,1
41,41,0,2,0,0,27.0,21.0,0,1,0,0,1
42,42,0,3,0,1,30.0,7.8958,0,0,1,0,0
43,43,1,2,0,0,3.0,41.5792,0,3,1,0,0
44,44,1,3,0,0,19.0,7.8792,0,0,0,1,0
45,45,0,3,0,1,30.0,8.05,0,0,0,0,1
46,46,0,3,0,1,30.0,15.5,0,1,0,1,0
47,47,1,3,0,0,30.0,7.75,0,0,0,1,0
48,48,0,3,0,1,30.0,21.6792,0,2,1,0,0
49,49,0,3,0,0,18.0,17.8,0,1,0,0,1
50,50,0,3,1,1,7.0,39.6875,0,5,0,0,1
51,51,0,3,0,1,21.0,7.8,0,0,0,0,1
52,52,1,1,0,0,49.0,76.7292,1,1,1,0,0
53,53,1,2,0,0,29.0,26.0,0,1,0,0,1
54,54,0,1,0,1,65.0,61.9792,1,1,1,0,0
55,55,1,1,0,1,30.0,35.5,1,0,0,0,1
56,56,1,2,0,0,21.0,10.5,0,0,0,0,1
57,57,0,3,0,1,28.5,7.2292,0,0,1,0,0
58,58,1,2,0,0,5.0,27.75,0,3,0,0,1
59,59,0,3,1,1,11.0,46.9,0,7,0,0,1
60,60,0,3,0,1,22.0,7.2292,0,0,1,0,0
61,62,0,1,0,1,45.0,83.475,1,1,0,0,1
62,63,0,3,1,1,4.0,27.9,0,5,0,0,1
63,64,0,1,0,1,30.0,27.7208,0,0,1,0,0
64,65,1,3,1,1,30.0,15.2458,0,2,1,0,0
65,66,1,2,0,0,29.0,10.5,1,0,0,0,1
66,67,0,3,0,1,19.0,8.1583,0,0,0,0,1
67,68,1,3,0,0,17.0,7.925,0,6,0,0,1
68,69,0,3,0,1,26.0,8.6625,0,2,0,0,1
69,70,0,2,0,1,32.0,10.5,0,0,0,0,1
70,71,0,3,0,0,16.0,46.9,0,7,0,0,1
71,72,0,2,0,1,21.0,73.5,0,0,0,0,1
72,73,0,3,0,1,26.0,14.4542,0,1,1,0,0
73,74,1,3,0,1,32.0,56.4958,0,0,0,0,1
74,75,0,3,0,1,25.0,7.65,1,0,0,0,1
75,76,0,3,0,1,30.0,7.8958,0,0,0,0,1
76,77,0,3,0,1,30.0,8.05,0,0,0,0,1
77,78,1,2,1,1,0.83,29.0,0,2,0,0,1
78,79,1,3,0,0,30.0,12.475,0,0,0,0,1
79,80,0,3,0,1,22.0,9.0,0,0,0,0,1
80,81,1,3,0,1,29.0,9.5,0,0,0,0,1
81,82,1,3,0,0,30.0,7.7875,0,0,0,1,0
82,83,0,1,0,1,28.0,47.1,0,0,0,0,1
83,84,1,2,0,0,17.0,10.5,0,0,0,0,1
84,85,1,3,0,0,33.0,15.85,0,3,0,0,1
85,86,0,3,0,1,16.0,34.375,0,4,0,0,1
86,87,0,3,0,1,30.0,8.05,0,0,0,0,1
87,88,1,1,0,0,23.0,263.0,1,5,0,0,1
88,89,0,3,0,1,24.0,8.05,0,0,0,0,1
89,90,0,3,0,1,29.0,8.05,0,0,0,0,1
90,91,0,3,0,1,20.0,7.8542,0,0,0,0,1
91,92,0,1,0,1,46.0,61.175,1,1,0,0,1
92,93,0,3,0,1,26.0,20.575,0,3,0,0,1
93,94,0,3,0,1,59.0,7.25,0,0,0,0,1
94,95,0,3,0,1,30.0,8.05,0,0,0,0,1
95,96,0,1,0,1,71.0,34.6542,1,0,1,0,0
96,97,1,1,0,1,23.0,63.3583,1,1,1,0,0
97,98,1,2,0,0,34.0,23.0,0,1,0,0,1
98,99,0,2,0,1,34.0,26.0,0,1,0,0,1
99,100,0,3,0,0,28.0,7.8958,0,0,0,0,1
100,101,0,3,0,1,30.0,7.8958,0,0,0,0,1
101,102,0,1,0,1,21.0,77.2875,1,1,0,0,1
102,103,0,3,0,1,33.0,8.6542,0,0,0,0,1
103,104,0,3,0,1,37.0,7.925,0,2,0,0,1
104,105,0,3,0,1,28.0,7.8958,0,0,0,0,1
105,106,1,3,0,0,21.0,7.65,0,0,0,0,1
106,107,1,3,0,1,30.0,7.775,0,0,0,0,1
107,108,0,3,0,1,38.0,7.8958,0,0,0,0,1
108,109,1,3,0,0,30.0,24.15,0,1,0,1,0
109,110,0,1,0,1,47.0,52.0,1,0,0,0,1
110,111,0,3,0,0,14.5,14.4542,0,1,1,0,0
111,112,0,3,0,1,22.0,8.05,0,0,0,0,1
112,113,0,3,0,0,20.0,9.825,0,1,0,0,1
113,114,0,3,0,0,17.0,14.4583,0,0,1,0,0
114,115,0,3,0,1,21.0,7.925,0,0,0,0,1
